route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2763,1,131074,Lake Ridge,L101,1,51429,10603,0,0
2763,1,131075,Lake Ridge,L102,1,51564,10604,0,0
2763,1,131076,Lake Ridge,L103,1,52423,10604,0,0
2763,1,131077,Lake Ridge,L104,1,51563,10604,0,0
2763,1,131078,Lake Ridge,L105,1,51565,10604,0,0
2763,1,131079,Lake Ridge,L106,1,51566,10604,0,0
2763,1,131080,Lake Ridge,L107,1,51562,10604,0,0
2763,1,131081,Lake Ridge,L108,1,51567,10604,0,0
2763,1,131082,Lake Ridge,L109,1,51568,10604,0,0
2763,1,131083,Lake Ridge,L110,1,51569,10604,0,0
2763,1,131084,Lake Ridge,L111,1,51428,10604,0,0
2763,1,131085,Lake Ridge,L112,1,51570,10604,0,0
2763,1,131086,Lake Ridge for D300 transfer at Pentagon,L113,1,51571,10606,0,0
2763,1,131073,"Lake Ridge / for D300, MC transfer at Pentagon",L114,1,51563,10607,0,0
2763,1,131072,Pentagon / Lake Ridge,L115,1,51562,10605,0,0
2764,1,131109,Pentagon / Crystal City,L201,0,51589,10608,0,0
2764,1,131108,Pentagon / Crystal City,L202,0,51588,10608,0,0
2764,1,131107,Pentagon / Crystal City,L203,0,51561,10608,0,0
2764,1,131106,Pentagon / Crystal City,L204,0,51587,10608,0,0
2764,1,131105,Pentagon / Crystal City,L205,0,51586,10608,0,0
2764,1,131104,Pentagon / Crystal City,L206,0,51585,10608,0,0
2764,1,131118,"Lake Ridge / for D200, MC, M transfer at Pentagon",L201,1,51596,10614,0,0
2764,1,131117,"Lake Ridge / for D200, MC, M transfer at Pentagon",L202,1,51595,10611,0,0
2764,1,131120,Lake Ridge,L203P,1,51461,10613,0,0
2764,1,131116,Pentagon / Lake Ridge,L204,1,52420,10612,0,0
2764,1,131115,Pentagon / Lake Ridge,L205,1,51594,10612,0,0
2764,1,131114,Pentagon / Lake Ridge,L206,1,51593,10612,0,0
2764,1,131119,Lake Ridge,L207P,1,51370,10613,0,0
2764,1,131113,Pentagon / Lake Ridge,L208,1,51592,10612,0,0
2764,1,131112,Pentagon / Lake Ridge,L209,1,51564,10612,0,0
2764,1,131111,"Lake Ridge / for D100, RS transfer at Pentagon",L210,1,51591,10610,0,0
2764,1,131110,Lake Ridge,L211P,1,51590,10613,0,0
2765,1,131134,Mark Center,L301,0,52405,10615,0,0
2765,1,131135,Mark Center,L302,0,52424,10615,0,0
2765,1,131136,Mark Center,L303,0,52405,10615,0,0
2765,1,131137,Mark Center,L304,0,52406,10615,0,0
2765,1,131138,Lake Ridge,L301,1,51546,10616,0,0
2765,1,131139,Lake Ridge,L302,1,52422,10616,0,0
2765,1,131140,Lake Ridge,L303,1,51610,10616,0,0
2765,1,131141,Lake Ridge,L304,1,52422,10616,0,0
2766,1,131148,Linton Hall Metro Direct to Tysons Corner,LH1,0,51514,10617,0,0
2766,1,131151,Linton Hall Metro Direct to Tysons Corner,LH2,0,51617,10617,0,0
2766,1,131150,Linton Hall Metro Direct to Tysons Corner,LH3,0,51616,10617,0,0
2766,1,131149,Linton Hall Metro Direct to Tysons Corner,LH4,0,51615,10617,0,0
2766,1,131152,Linton Hall Metro Direct to Linton Hall,LH1,1,51618,10618,0,0
2766,1,131155,Linton Hall Metro Direct to Linton Hall,LH2,1,51619,10618,0,0
2766,1,131154,Linton Hall Metro Direct to Linton Hall,LH3,1,51548,10618,0,0
2766,1,131153,Linton Hall Metro Direct to Linton Hall,LH4,1,51547,10618,0,0
2767,1,131172,Washington DC / L'Enfant Plaza,M101,0,51586,10619,0,0
2767,1,131173,Washington DC / L'Enfant Plaza,M102,0,51413,10619,0,0
2767,1,131174,Washington DC / L'Enfant Plaza,M103,0,51629,10619,0,0
2767,1,131175,Washington DC / L'Enfant Plaza,M104,0,51630,10619,0,0
2767,1,131176,Washington DC / L'Enfant Plaza,M105,0,52372,10619,0,0
2767,1,131177,Washington DC / L'Enfant Plaza,M106,0,52375,10619,0,0
2767,1,131178,Portsmouth / Cushing Lots,M101G,1,51633,10621,0,0
2767,1,131179,Manassas / Portsmouth Lot,M102,1,51634,10620,0,0
2767,1,131180,Portsmouth / Cushing Lots,M103G,1,51635,10621,0,0
2767,1,131181,Manassas / Portsmouth Lot,M104,1,51430,10620,0,0
2767,1,131182,Manassas / Portsmouth Lot,M105,1,51590,10620,0,0
