stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
421,DURiv-IB,River Ridge Blvd @ Route 1,River Ridge Blvd & Jefferson Davis Hwy,38.586652,-77.303529,,,,,,0
422,DUNea-IB,Neabsco Mills Rd @ Route 1,Neabsco Mills Rd & Jefferson Davis Hwy,38.612268,-77.290625,,,,,,0
423,DUNov-IB,S College Rd @ NOVA Campus,S College Rd & Neabsco Mills Rd,38.61872,-77.292672,,,,,,0
426,DUNov-OB,N College Dr @ NOVA Campus,N College Dr & Neabsco Mills Rd,38.619128,-77.292791,,,,,,0
427,DUNea-OB,Neabsco Mills Rd @ Route 1,Neabsco Mills Rd & Jefferson Davis Hwy,38.612062,-77.290789,,,,,,0
428,DURiv-OB,River Ridge Blvd @ Route 1,River Ridge Blvd & Jefferson Davis Hwy,38.587192,-77.304277,,,,,,0
429,DUFul-OB,Fuller Rd @ Route 1,Fuller Rd & Jefferson Davis Hwy,38.545375,-77.335459,,,,,,0
430,DCMAPLED,Dale Blvd @ Mapledale Ave,,38.659275,-77.367827,,,,,,0
431,DCKey-IB,Dale Blvd @ Keytone Rd,,38.65986,-77.355381,,,,,,0
432,DCDel-IB,Dale Blvd @ Delaney Rd,,38.660172,-77.353254,,,,,,0
433,DCGre-IB,Dale Blvd @ Greenwood Dr,,38.654402,-77.342957,,,,,,0
434,DCGle-IB,Dale Blvd @ Glendale Rd,,38.649442,-77.342171,,,,,,0
435,DCWor-IB,Darbydale Ave @ Worchester Dr,,38.641752,-77.341566,,,,,,0
436,DCEmb-IB,Darbydale Ave @ Emberdale Dr,Darbydale Ave & Emberdale Ave,38.632777,-77.339346,,,,,,0
438,DCClv-IB,Dale Blvd @ Cloverdale Rd,,38.634303,-77.320651,,,,,,0
439,DCClv-OB,Dale Blvd @ Cloverdale Rd,,38.634483,-77.320414,,,,,,0
440,DCDelMOB,Darbydale Ave @ Del Mar Dr,,38.637667,-77.325676,,,,,,0
441,DCEmb-OB,Darbydale Ave @ Emberdale Dr,,38.63292,-77.339692,,,,,,0
442,DCWor-OB,Darbydale Ave @ Worchester Dr,,38.641908,-77.341299,,,,,,0
445,DCDel-OB,Dale Blvd @ Delaney Rd,,38.66043,-77.353179,,,,,,0
446,DCKey-OB,Dale Blvd @ Keytone Rd,,38.660087,-77.355904,,,,,,0
447,DCTan-OB,Dale Blvd @ Tango Ln,,38.671603,-77.395304,,,,,,0
450,WJDLNG-A,Route 1 @ Longview Dr,Jefferson Davis Hwy & Longview Dr,38.648785,-77.261767,,,,,,0
452,WOccEl-A,Occoquan Rd @ Devils Reach Rd,,38.671558,-77.260077,,,,,,0
453,WElys-A,Old Bridge Rd @ Elysian Dr,,38.674794,-77.264584,,,,,,0
454,WHernd-A,Old Bridge Rd @ Herndon Dr,,38.676402,-77.267742,,,,,,0
455,WColby-A,Od Bridge Rd @ Colby Dr,Old Bridge Rd & Colby Dr,38.679001,-77.282671,,,,,,0
456,WAnt-A,Old Bridge Rd @ Antietam Rd,,38.68359,-77.302041,,,,,,0
457,WHedg-A,Old Bridge Rd @ Hedges Run Dr,,38.68508,-77.313424,,,,,,0
460,WWorth-A,Worth Ave @ Prince William Pkwy,,38.649813,-77.295266,,,,,,0
461,WIkea-A,Potomac Mills Cir @ Biddeford Way,,38.643283,-77.290122,,,,,,0
462,WTex-A,Potomac Mills Rd @ Potomac Mills Cir,,38.639998,-77.294126,,,,,,0
463,WPFest-A,Potomac Festival before OMNIRIDE,Potomac Mills Rd & Opitz Blvd,38.636555,-77.296106,,,,,,0
464,WPFest-B,Potomac Festival after OMNIRIDE,Potomac Mills Rd & Town Center Rd,38.63593,-77.296482,,,,,,0
465,WPier1-B,Potomac Mills Rd @ Gideon Dr,,38.640135,-77.293906,,,,,,0
466,WIkea-B,Potomac Mills Cir @ Biddeford Way,,38.642949,-77.290257,,,,,,0
467,WWorth-B,Worth Ave @ Prince William Pkwy,,38.648787,-77.294891,,,,,,0
468,WShopr-B,Prince William Pkwy @ Shoppers Best Way,,38.651792,-77.298409,,,,,,0
469,WPSmok-B,Prince William Pkwy @ Smoketown Rd,,38.65148,-77.301274,,,,,,0
