trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,block_name
20013140,BL,2282,"Reagan National Airport Metro",,1,17762714,shp-BL-01,0,0,
20038140,BL,2282,"Reagan National Airport Metro",,1,17762714,shp-BL-01,0,0,
236140,BL,2282,"Reagan National Airport Metro",,1,17762214,shp-BL-01,0,0,
237140,BL,2282,"Reagan National Airport Metro",,1,17762414,shp-BL-01,0,0,
238140,BL,2282,"Reagan National Airport Metro",,1,17762514,shp-BL-01,0,0,
323140,BL,2282,"Reagan National Airport Metro",,1,17762314,shp-BL-01,0,0,
324140,BL,2282,"Reagan National Airport Metro",,1,17762614,shp-BL-01,0,0,
325140,BL,2282,"Reagan National Airport Metro",,1,17762714,shp-BL-01,0,0,
326140,BL,2282,"Reagan National Airport Metro",,1,17762814,shp-BL-01,0,0,
327140,BL,2282,"Reagan National Airport Metro",,1,17762914,shp-BL-01,0,0,
330140,BL,2282,"Reagan National Airport Metro",,1,156660914,shp-BL-01,0,0,
331140,BL,2282,"Reagan National Airport Metro",,1,17762314,shp-BL-01,0,0,
332140,BL,2282,"Reagan National Airport Metro",,1,17762214,shp-BL-01,0,0,
333140,BL,2282,"Reagan National Airport Metro",,1,17762414,shp-BL-01,0,0,
334140,BL,2282,"Reagan National Airport Metro",,1,17762514,shp-BL-01,0,0,
335140,BL,2282,"Reagan National Airport Metro",,1,17762614,shp-BL-01,0,0,
336140,BL,2282,"Reagan National Airport Metro",,1,17762714,shp-BL-01,0,0,
337140,BL,2282,"Reagan National Airport Metro",,1,17762814,shp-BL-01,0,0,
338140,BL,2282,"Reagan National Airport Metro",,1,17762914,shp-BL-01,0,0,
339140,BL,2282,"Reagan National Airport Metro",,1,17763014,shp-BL-01,0,0,
341140,BL,2282,"Reagan National Airport Metro",,1,156660914,shp-BL-01,0,0,
342140,BL,2282,"Reagan National Airport Metro",,1,17762314,shp-BL-01,0,0,
343140,BL,2282,"Reagan National Airport Metro",,1,17762214,shp-BL-01,0,0,
344140,BL,2282,"Reagan National Airport Metro",,1,17762414,shp-BL-01,0,0,
345140,BL,2282,"Reagan National Airport Metro",,1,17762514,shp-BL-01,0,0,
346140,BL,2282,"Reagan National Airport Metro",,1,17762614,shp-BL-01,0,0,
347140,BL,2282,"Reagan National Airport Metro",,1,17762714,shp-BL-01,0,0,
348140,BL,2282,"Reagan National Airport Metro",,1,17762814,shp-BL-01,0,0,
349140,BL,2282,"Reagan National Airport Metro",,1,17762914,shp-BL-01,0,0,
350140,BL,2282,"Reagan National Airport Metro",,1,17763014,shp-BL-01,0,0,
352140,BL,2282,"Reagan National Airport Metro",,1,156660914,shp-BL-01,0,0,
353140,BL,2282,"Reagan National Airport Metro",,1,17762314,shp-BL-01,0,0,
354140,BL,2282,"Reagan National Airport Metro",,1,17762214,shp-BL-01,0,0,
355140,BL,2282,"Reagan National Airport Metro",,1,17762414,shp-BL-01,0,0,
