route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
11319,536,185525,Woodley Park,,1,207,8556,1,1
11322,491,179482,Union Station,,0,704,8818,1,1
11322,491,178434,Congress Heights,,1,103,8819,1,1
11318,490,176630,Union Station,,0,108,8551,1,1
11319,536,186750,McPherson Square Metro,,0,211,8557,1,1
11319,490,176134,McPherson Square Metro,,0,203,8557,1,1
11318,491,178560,Georgetown,,1,110,8550,1,1
11318,493,176635,Union Station,,0,111,8551,1,1
11322,493,178386,Congress Heights,,1,709,8819,1,1
11321,535,183898,Rosslyn,,1,607,8549,1,1
11319,490,176076,McPherson Square Metro,,0,205,8557,1,1
11322,493,178923,Congress Heights,,1,706,8819,1,1
11322,490,175968,Union Station,,0,704,8818,1,1
11319,490,176619,Woodley Park,,1,203,8556,1,1
11318,491,177075,Union Station,,0,110,8551,1,1
11320,492,179052,L'Enfant Plaza,,1,505,8822,1,1
11318,535,185934,Georgetown,,1,112,8550,1,1
11320,491,176061,Eastern Market,,0,502,8823,1,1
11322,537,183235,Union Station,,0,710,8818,1,1
11320,536,186863,L'Enfant Plaza,,1,505,8822,1,1
11319,490,176347,McPherson Square Metro,,0,210,8557,1,1
11320,493,176327,Eastern Market,,0,505,8823,1,1
11323,536,184461,National Mall,,0,803,7685,1,1
11318,490,177449,Georgetown,,1,106,8550,1,1
11319,535,182729,McPherson Square Metro,,0,201,8557,1,1
11319,536,183054,Woodley Park,,1,217,8556,1,1
11320,490,176831,Eastern Market,,0,504,8823,1,1
11322,491,175675,Union Station,,0,702,8818,1,1
11322,490,176696,Union Station,,0,701,8818,1,1
11319,492,176893,Woodley Park,,1,204,8556,1,1
11318,492,179951,Union Station,,0,103,8551,1,1
11321,535,185809,Dupont Circle,,0,604,8548,1,1
11321,491,179157,Dupont Circle,,0,608,8548,1,1
11318,490,177743,Georgetown,,1,706,8550,1,1
11321,536,186360,Rosslyn,,1,602,8549,1,1
11320,536,184393,Eastern Market,,0,502,8823,1,1
11319,493,177208,Woodley Park,,1,204,8556,1,1
11321,537,184929,Rosslyn,,1,605,8549,1,1
11321,490,178768,Rosslyn,,1,602,8549,1,1
11320,535,186754,Eastern Market,,0,501,8823,1,1
11322,534,186784,Congress Heights,,1,718,8819,1,1
11320,534,182537,L'Enfant Plaza,,1,507,8822,1,1
11319,537,184149,McPherson Square Metro,,0,203,8557,1,1
11321,537,186887,Dupont Circle,,0,602,8548,1,1
11319,493,179688,Woodley Park,,1,207,8556,1,1
11319,490,179751,Woodley Park,,1,207,8556,1,1
11321,493,177908,Dupont Circle,,0,602,8548,1,1
11322,535,185529,Congress Heights,,1,704,8819,1,1
11320,535,183555,L'Enfant Plaza,,1,504,8822,1,1
11320,534,185110,Eastern Market,,0,505,8823,1,1
11318,490,176440,Union Station,,0,105,8551,1,1
11318,492,177404,Union Station,,0,104,8551,1,1
11323,537,185609,National Mall,,0,804,7685,1,1
11322,492,179601,Union Station,,0,708,8818,1,1
11318,534,186878,Union Station,,0,114,8551,1,1
11320,493,175951,L'Enfant Plaza,,1,503,8822,1,1
11318,493,179685,Georgetown,,1,101,8550,1,1
11319,536,185641,McPherson Square Metro,,0,216,8557,1,1
11321,493,179272,Rosslyn,,1,601,8549,1,1
11319,536,185692,Woodley Park,,1,209,8556,1,1
11320,535,185084,L'Enfant Plaza,,1,504,8822,1,1
11319,491,178327,Woodley Park,,1,201,8556,1,1
11321,490,175924,Dupont Circle,,0,602,8548,1,1
11318,535,185478,Union Station,,0,108,8551,1,1
11320,493,180035,L'Enfant Plaza,,1,508,8822,1,1
11319,490,177831,Woodley Park,,1,203,8556,1,1
11318,537,183710,Union Station,,0,108,8551,1,1
11321,535,185481,Rosslyn,,1,605,8549,1,1
11318,492,178200,Georgetown,,1,106,8550,1,1
11320,493,179824,Eastern Market,,0,504,8823,1,1
11321,535,182990,Rosslyn,,1,604,8549,1,1
11323,536,185507,National Mall,,0,807,7685,1,1
11320,537,183181,Eastern Market,,0,503,8823,1,1
11320,537,185128,Eastern Market,,0,513,8823,1,1
11318,535,182813,Georgetown,,1,118,8550,1,1
11322,492,176525,Union Station,,0,712,8818,1,1
11321,490,177115,Dupont Circle,,0,602,8548,1,1
11323,492,178633,National Mall,,0,804,7685,1,1
11320,493,179022,Eastern Market,,0,503,8823,1,1
11322,537,186476,Union Station,,0,711,8818,1,1
11319,536,183362,Woodley Park,,1,203,8556,1,1
11319,534,183504,McPherson Square Metro,,0,206,8557,1,1
