stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
113324,1003521,Massachusetts Avenue and 7th Street NW,,38.90218,-77.02171,,,,,,
113446,1003861,Madison Drive and 12th Street NW,,38.89052,-77.02870,,,,,,
113386,1000527,8th Street and L Street SE,,38.87780,-76.99487,,,,,,
113352,1001265,Pennsylvania Avenue and 24th Street NW,,38.90289,-77.05156,,,,,,
113373,1003678,Adams Mill Road and Columbia Road NW,,38.92310,-77.04277,,,,,,
113322,1001094,Massachusetts Avenue and New Jersey Avenue NW,,38.89922,-77.01307,,,,,,
113361,1003525,New York Avenue and 9th Street NW,,38.90185,-77.02445,,,,,,
123816,1003363,Stanton Road and Bryan Place SE,,38.85829,-76.98814,,,,,,
113408,1003857,L Street and 24th Street NW,,38.90368,-77.05122,,,,,,
113333,1003812,K Street and 24th Street NW,,38.90267,-77.05160,,,,,,
123822,1003903,7th Street and I Street SW,,38.87969,-77.02181,,,,,,
113388,1000662,Pennsylvania Avenue and 7th Street SE,,38.88477,-76.99595,,,,,,
113415,1001323,M Street and 31st Street NW,,38.90529,-77.06157,,,,,,
113378,1003161,Irving Street and 14th Street NW,,38.92872,-77.03288,,,,,,
113457,1003848,3rd Street near Madison Drive NW,,38.88993,-77.01507,,,,,,
113323,1003864,Massachusetts Avenue and 5th Street NW,,38.90114,-77.01874,,,,,,
123810,1000822,8th Street and E Capitol NE,,38.89011,-76.99489,,,,,,
113443,1003851,E Street and Columbus Circle NE (Union Station),,38.89643,-77.00796,,,,,,
113407,1001316,Pennsylvania Avenue and 28th Street NW,,38.90488,-77.05722,,,,,,
113354,1001182,Pennsylvania Avenue and 21st Street NW,,38.90129,-77.04693,,,,,,
123797,1000265,Stanton Road and Pomeroy Road SE,,38.85608,-76.98689,,,,,,
113400,1003286,600 M Street SE (Navy Yard Entrance),,38.87660,-76.99761,,,,,,
113356,1001229,K Street and 17th Street NW,,38.90244,-77.03976,,,,,,
113375,1001827,Calvert Street and Lanier Pl NW,,38.92315,-77.04389,,,,,,
113358,1001222,K Street and 14th Street NW,,38.90244,-77.03221,,,,,,
113345,1001512,Wisconsin Avenue and Q Street NW,,38.91093,-77.06529,,,,,,
113401,1000512,M Street and 4th Street SE,,38.87659,-77.00039,,,,,,
113403,1001315,M Street and 34th Street NW,,38.90498,-77.06742,,,,,,
113360,1003509,K Street and 11th Street NW,,38.90244,-77.02660,,,,,,
113362,1003862,Massachusetts Avenue and 7th Street NW,,38.90194,-77.02155,,,,,,
113397,1000654,Pennsylvania Avenue and 8th Street SE,,38.88414,-76.99523,,,,,,
123794,1000222,Stanton Road and Bruce Place SE,,38.85091,-76.98109,,,,,,
113348,1001319,M Street and Wisconsin Avenue NW,,38.90508,-77.06225,,,,,,
123793,1000216,Stanton Road and Bruce Place SE,,38.85066,-76.98094,,,,,,
113372,1001878,Columbia Road and Ontario Road NW,,38.92451,-77.04006,,,,,,
113370,1001964,Columbia Road and 14th Street NW,,38.92754,-77.03305,,,,,,
113344,1001595,Wisconsin Avenue and R Street NW,,38.91387,-77.06686,,,,,,
123807,1000517,M Street and Delaware Ave SW,,38.87659,-77.01356,,,,,,
123820,1003780,11th Street and O Street NE,,38.87344,-76.99145,,,,,,
123823,1003908,Maine Avenue and 7th Street SW,,38.87850,-77.02273,,,,,,
113357,1001226,K Street and 16th Street NW,,38.90246,-77.03679,,,,,,
113453,1003850,Constitution Avenue and 18th Street NW,,38.89188,-77.04141,,,,,,
113444,1003859,Madison Drive and 4th Street NW,,38.89064,-77.01732,,,,,,
123815,1003362,Stanton Road and Pomeroy Road SE,,38.85633,-76.98711,,,,,,
113363,1003863,Massachusetts Avenue and 5th Street NW,,38.90109,-77.01910,,,,,,
113326,1003810,K Street and 13th Street NW,,38.90260,-77.02889,,,,,,
113385,1003559,600 M Street SE (Navy Yard Entrance),,38.87638,-76.99736,,,,,,
113369,1001702,14th Street and U Street NW,,38.91745,-77.03183,,,,,,
113328,1001242,K Street and 16th Street NW,,38.90260,-77.03698,,,,,,
113447,1003847,15th Street and Jefferson Drive SW,,38.88841,-77.03355,,,,,,
123811,1002989,Anacostia Station Bus Bay F,,38.86189,-76.99507,,,,,,
113376,1001862,Columbia Road and Ontario Road NW,,38.92406,-77.04042,,,,,,
113455,1003853,Jefferson Drive and 12th Street SW,,38.88860,-77.02834,,,,,,
